ID;login;NlogonAll;calendbinary;filterbinary;Nexport;topic1;Nactive1;topic2;Nactive2;topic3;Nactive3;diffdate;diffbill;fastbill;msignal;avgSectionbinary;avgNullSearchW;avgNullSearchM;avgEmptyStupid;Nlongfilter;NcontractAll;NcontractAllReq;NprotNotAll;NprotNotAllAuction;protContractRatio;is_loyality
581949;1;20;0;0;0;0;0;0;0;0;0;1.46255707762557;0;4;0;0;0;0;0;0;0;0;0;0;0;0
581991;1;169;1;1;19;64;964;24;964;23;964;1.73926940639269;0;2;0;0.470588235294118;0;0;0.294117647058824;8;0;0;0;0;0;0
581993;1;300;0;1;1000;33;1180;33;1180;34;1180;0.504109589041096;0;05.май;0;0;0;0;0;0;0;0;0;0;0;1
582076;1;87;0;1;0;32;217;36;217;45;217;1.70091324200913;0;9;0;0.333333333333333;0;0;0.5;2;5;2;6;0;0.833333333333333;0
58239;1;327;1;1;0;94;2844;94;2844;94;2844;1.87397260273973;7.40476190476191;4;0;0;0;0;0;0;0;0;0;0;0;1
58246;1;416;1;1;82;70;966;70;966;36;966;2.04109589041096;1.60869565217391;7;0;0.388888888888889;0.166666666666667;0.0555555555555556;0.416666666666667;5;8;3;23;4;0.347826086956522;0
582553;1;31;0;1;0;72;91;70;91;29;91;1.68995433789954;0;18;0;0;0;0;0.5;1;0;0;0;0;0;0
582557;1;710;1;1;1000;23;736;23;736;24;736;0.947945205479452;0.0436507936507936;07.май;0;0.428571428571429;0.178571428571429;0.142857142857143;0.428571428571429;20;207;8;181;116;1;1
58259;1;180;0;1;0;1;26265;1;26265;1;26265;1.03561643835616;1.01863354037267;08.май;0;0;0;0;0;0;74;20;110;33;0.672727272727273;0
582899;1;23;0;1;0;90;54;92;54;93;54;1.71461187214612;0;5;0;0;0;0;0.5;0;0;0;1;1;0;0
582938;1;70;1;1;31;2;1005;18;1005;14;1005;1.48447488584475;0;0;0;0.12;0.22;0.12;0.413333333333333;79;5;2;9;4;0.555555555555556;0
583031;1;2;0;1;0;24;5;0;0;0;0;1.71461187214612;0;5;0;0;0;0;0.5;2;0;0;0;0;0;0
583785;1;78;0;1;0;25;388;25;388;24;388;1.24383561643836;175.5;7;0;0.333333333333333;0;0;0.666666666666667;2;2;0;0;0;0;1
583874;1;276;0;1;0;28;1046;28;1046;18;1046;0.50958904109589;0.0181268882175227;5;0;0;0.277777777777778;0;0.388888888888889;16;0;0;1;0;0;0
583915;1;21;0;1;0;50;234;40;234;45;234;1.7310502283105;0;18;0;0.181818181818182;0;0;0.454545454545455;3;0;0;1;1;0;0
583966;1;274;1;1;0;32;792;32;792;30;792;0.863013698630137;0.0948905109489051;14.май;0;0;0;0;0;0;0;0;0;0;0;1
584074;1;46;1;1;0;18;561;21;561;25;561;1.7310502283105;0;8;0;0.4;0.1;0.1;0.7;8;78;15;78;28;1;0
584095;1;46;0;1;0;93;173;31;173;85;173;1.70091324200913;0;3;0;0.538461538461538;0.230769230769231;0.153846153846154;0.384615384615385;8;0;0;7;5;0;0
584204;1;236;0;1;1000;35;406;35;406;66;406;0.934246575342466;0.0436507936507936;25;0;0.24;0.08;0.02;0.22;30;0;0;0;0;0;1
584212;1;156;0;1;16;45;120;45;120;0;0;0.934246575342466;1.36746987951807;01.май;0;0;0.333333333333333;0.166666666666667;0.333333333333333;2;1;0;2;2;0.5;1
584284;1;139;0;1;39;60;490;29;490;51;490;1.3337899543379;0;0;0;0.315789473684211;0.210526315789474;0.157894736842105;0.368421052631579;13;0;0;1;0;0;0
584458;1;718;0;1;1000;1;37480;1;37480;2;37480;0.934246575342466;0.0114068441064639;9;0;0.0952380952380952;0.174603174603175;0.142857142857143;0.412698412698413;53;9;0;46;24;0.195652173913043;1
584464;1;514;0;1;0;40;810;40;810;93;810;1.41917808219178;183.5;1;0;0.142857142857143;0.142857142857143;0;0.142857142857143;6;26;4;42;31;0.619047619047619;1
584872;1;18;0;1;0;30;16;29;16;26;16;1.14200913242009;0;1;0;0.285714285714286;0;0;0;1;0;0;0;0;0;0
58509;1;68;1;1;4;50;878;50;878;0;0;1.89041095890411;0.76510067114094;2;0;0.514285714285714;0.0285714285714286;0;0.2;6;2;1;5;3;0.4;1
585222;1;86;0;1;0;73;772;73;772;22;772;1.06849315068493;0.135048231511254;1;0;0.25;0;0;0.0833333333333333;6;8;2;18;12;0.444444444444444;1
585258;1;10;1;0;0;0;0;0;0;0;0;0.010958904109589;-0.236714975845411;3;0;0;0;0;0;0;2;1;2;1;1;0
585263;1;390;0;1;0;27;1810;27;1810;31;1810;0.975342465753425;0.0351906158357771;19.май;1;0.2;0;0;0.2;2;14;2;30;20;0.466666666666667;1
585319;1;188;1;1;0;29;624;33;624;0;0;1.38584474885845;0;1;0;0.75;0;0;0.375;2;0;0;0;0;0;0
585355;1;3;0;0;0;0;0;0;0;0;0;0.46027397260274;0.015625;39.5;0;0;0;0;0;0;0;0;0;0;0;0
585392;1;288;0;1;4;17;834;17;834;18;834;0.498630136986301;0.730392156862745;1;0;0.411764705882353;0.352941176470588;0.117647058823529;0;15;4;1;28;7;0.142857142857143;1
585498;1;20;0;1;7;23;755;30;755;1;755;0.408219178082192;2.33018867924528;07.май;0;0.166666666666667;0;0;0.333333333333333;3;0;0;0;0;0;0
585501;1;116;0;1;90;5;3990;10;3990;21;3990;1.65159817351598;0;3;0;0.333333333333333;0.125;0.0833333333333333;0.625;22;319;47;424;248;0.752358490566038;0
5857;1;615;0;1;1000;85;579;85;579;85;579;2.89041095890411;0.12;7;0;0;0.0851063829787234;0.0212765957446809;0.170212765957447;36;406;41;520;409;0.780769230769231;1
585778;1;532;1;1;184;17;6768;17;6768;21;6768;0.841095890410959;0;4;0;0.333333333333333;0.115384615384615;0.102564102564103;0.256410256410256;44;1;0;4;1;0.25;1
585785;1;154;0;1;0;36;1938;36;1938;45;1938;1.26575342465753;-0.373001776198934;1;0;0.115384615384615;0.0769230769230769;0.0769230769230769;0.230769230769231;16;33;10;94;44;0.351063829787234;1
585936;1;119;0;1;0;45;162;94;162;33;162;1.70913242009132;0;4;0;0.272727272727273;0.363636363636364;0.363636363636364;0.454545454545455;6;0;0;1;0;0;0
586059;1;66;0;1;0;75;688;75;688;32;688;0.221917808219178;1.26900584795322;04.май;0;0.166666666666667;0;0;0.333333333333333;5;6;5;27;5;0.222222222222222;0
586135;1;15;1;1;0;28;61;45;61;93;61;1.67077625570776;0;49;0;0.333333333333333;0.166666666666667;0.166666666666667;0.5;5;0;0;0;0;0;0
586174;1;26;0;1;0;75;502;24;502;72;502;1.67351598173516;0;11;0;0.458333333333333;0.291666666666667;0.208333333333333;0.375;7;0;0;0;0;0;0
5862;1;90;0;1;99;45;765;45;765;45;765;4.01095890410959;1.11801242236025;6;0;0.411764705882353;0.254901960784314;0.235294117647059;0.156862745098039;39;140;79;453;127;0.309050772626932;1
586238;1;452;1;1;351;11;1467;18;1467;14;1467;1.70913242009132;0;0;0;0;0;0;0;0;0;0;0;0;0;0
586258;1;43;0;1;2;70;187;45;187;73;187;1.25205479452055;0.0233463035019455;1;0;0.3;0;0;0.4;10;1;0;17;17;0.0588235294117647;0
586401;1;201;1;1;2;14;414;29;414;33;414;1.51735159817352;0;7;0;0;0;0;0;0;0;0;0;0;0;0
586667;1;44;0;1;0;94;282;94;282;74;282;0.536986301369863;0.730392156862745;04.май;0;0.125;0.125;0.125;0.25;4;2;1;7;2;0.285714285714286;1
586850;1;170;0;1;0;71;2676;71;2676;74;2676;0.920547945205479;1.21800947867299;5;0;0.529411764705882;0.0588235294117647;0.0588235294117647;0.411764705882353;10;4;0;12;12;0.333333333333333;1
5874;1;18;0;1;0;28;102;28;102;25;102;0.980821917808219;6.40476190476191;21;0;0.555555555555556;0.111111111111111;0.111111111111111;0.111111111111111;5;3;1;2;1;1;1
587518;1;182;1;1;15;20;1076;19;1076;52;1076;0.235616438356164;0.935672514619883;2;0;0.363636363636364;0.121212121212121;0.0909090909090909;0.424242424242424;44;120;13;136;82;0.882352941176471;0
587565;1;46;0;1;5;45;82;74;82;27;82;1.09315068493151;0.0351906158357771;49;0;0;0.333333333333333;0;0.333333333333333;6;2;2;6;5;0.333333333333333;0
587576;1;252;0;1;0;34;2514;34;2514;34;2514;1.56986301369863;0.176039119804401;2;1;0.338235294117647;0.0441176470588235;0.0294117647058824;0.25;12;5;4;18;1;0.277777777777778;1
587719;1;65;0;1;0;36;26;45;26;90;26;1.3365296803653;0;0;0;1;0;0;1;2;1;1;5;0;0.2;0
58787;1;150;0;1;0;72;153;72;153;72;153;1.2027397260274;-0.425891181988743;4;0;0.2;0;0;0.4;4;29;2;60;48;0.483333333333333;0
588042;1;145;0;1;0;93;740;31;740;45;740;1.68493150684932;0.113314447592068;1;0;0.333333333333333;0;0;0.333333333333333;3;14;4;12;8;1;0
588135;1;265;1;1;4;15;20;52;20;22;20;1.62420091324201;0;71;0;0.222222222222222;0.0555555555555556;0;0.555555555555556;6;50781;4989;13449;4143;1;0
588140;1;274;0;1;0;22;114;22;114;21;114;1.08493150684932;0.114754098360656;24.май;0;0.333333333333333;0.0555555555555556;0.0555555555555556;0.333333333333333;7;50781;4989;13449;4143;1;1
588145;1;3;0;1;0;0;0;0;0;0;0;1.56164383561644;1.69398907103825;73;0;0.333333333333333;0;0;0.416666666666667;4;50781;4989;13449;4143;1;0
588149;1;30;0;1;0;64;93;64;93;64;93;1.29315068493151;0.114754098360656;86;1;0.5;0.25;0;0.5;1;50781;4989;13449;4143;1;1
588173;1;346;1;1;0;17;9222;17;9222;15;9222;0.997260273972603;0.135384615384615;5;0;0.121212121212121;0.0909090909090909;0.0606060606060606;0.0303030303030303;3;42;1;69;47;0.608695652173913;1
588428;1;320;0;1;0;1;5154;1;5154;33;5154;0.989041095890411;0.169230769230769;03.май;0;0.0571428571428571;0.114285714285714;0.0571428571428571;0.142857142857143;14;23;5;38;19;0.605263157894737;1
588458;1;360;0;1;30;66;2584;66;2584;2;2584;1.27397260273973;0.0453257790368272;17.май;0;0.072463768115942;0.144927536231884;0.0869565217391304;0.304347826086957;42;28;1;60;21;0.466666666666667;1
588648;1;105;0;1;6;36;414;25;414;24;414;1.68995433789954;0;13;0;0.538461538461538;0;0;0.615384615384615;9;3;1;4;0;0.75;0
588652;1;81;0;1;0;41;267;30;267;33;267;1.55890410958904;0.0114068441064639;11;0;1;0;0;0;0;0;0;0;0;0;0
588704;1;41;0;1;0;72;49;63;49;60;49;1.30913242009132;0;0;0;0.25;0;0;0;2;6;0;68;68;0.0882352941176471;0
589394;1;894;0;1;297;24;6402;24;6402;24;6402;1.18904109589041;0.85;1;1;0.333333333333333;0.181818181818182;0.0303030303030303;0.212121212121212;21;9;1;18;16;0.5;1
58946;1;646;1;1;0;11;27592;11;27592;14;27592;0.926027397260274;0;0;0;0.375;0;0;0.375;4;22;8;158;38;0.139240506329114;0
589648;1;35;1;1;0;50;79;60;79;34;79;0.134246575342466;-0.339430894308943;10.май;0;0.285714285714286;0.142857142857143;0.142857142857143;0.285714285714286;1;51;19;75;29;0.68;0
589698;1;3;0;1;0;0;0;0;0;0;0;1.52009132420091;0;7;0;1;0;0;0;1;0;0;0;0;0;0
589857;1;4;0;0;0;0;0;0;0;0;0;1.58310502283105;0;7;0;0;0;0;0;0;5;1;5;0;1;0
590140;1;19;1;1;0;36;559;41;559;16;559;1.38584474885845;0;2;0;0.111111111111111;0.222222222222222;0.111111111111111;0.555555555555556;8;1;0;3;1;0.333333333333333;0
590236;1;175;0;1;1;74;1494;24;1494;21;1494;1.67351598173516;0;8;0;0.714285714285714;0.142857142857143;0.142857142857143;0.357142857142857;8;0;0;0;0;0;0
590318;1;86;0;1;2;2;1490;2;1490;1;1490;0.991780821917808;0.0436507936507936;3;0;0.234042553191489;0.106382978723404;0;0.191489361702128;19;1;0;1;1;1;1
59053;1;72;0;1;0;74;75;45;75;29;75;3.87945205479452;0.487179487179487;2;0;0;0;0;1;1;32;4;37;27;0.864864864864865;0
590560;1;862;0;1;1000;2;48570;2;48570;24;48570;0.805479452054795;0.045016077170418;4;0;0.25;0.125;0;0.25;9;0;0;0;0;0;1
5907;1;1611;0;1;0;1;98547;1;98547;1;98547;3.09041095890411;2.16216216216216;2;0;0.0350877192982456;0.0175438596491228;0;0.228070175438596;42;60;11;204;158;0.294117647058824;1
590895;1;9;1;1;0;35;35;36;35;18;35;1.26803652968037;0;10;0;0.2;0;0;0;4;0;0;0;0;0;0
59170;1;340;1;1;0;33;3536;33;3536;33;3536;2.16438356164384;0.0453257790368272;2;0;0;0;0;0;0;15;3;39;16;0.384615384615385;1
592284;1;133;0;1;0;1;1258;14;1258;50;1258;1.64063926940639;51.6666666666667;18;0;0.2;0;0;0.4;3;3;0;14;6;0.214285714285714;0
592299;1;220;1;1;0;15;2942;1;2942;52;2942;0.175342465753425;175.5;1;0;0.333333333333333;0.138888888888889;0.0833333333333333;0.583333333333333;22;5;2;13;3;0.384615384615385;0
